Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
2.53,96.8,44.0,6.34,10.69,2,0.0
4.57,92.6,53.8,6.99,0.0,3,9.99
4.45,98.8,97.4,6.64,0.0,3,9.64
0.09,51.9,18.2,6.71,10.34,2,0.0
17.94,91.1,83.6,6.77,0.0,1,9.77
0.16,63.9,87.9,5.24,0.0,1,198.36
12.91,97.2,75.7,8.61,10.37,1,0.0
1.64,90.2,91.1,9.15,0.0,3,41.16
2.45,93.0,21.6,9.49,15.74,3,0.0
3.3,90.1,28.2,4.21,0.0,2,7.21
1.81,92.7,23.3,9.46,4.71,3,17.02
13.92,99.8,40.3,6.8,0.0,1,20.59
17.18,97.2,71.4,8.83,0.0,1,13.61
12.11,90.4,52.1,5.22,0.0,1,37.14
0.34,71.2,90.2,6.49,19.83,4,0.0
13.06,90.2,60.2,8.88,0.0,4,35.92
0.26,81.8,21.7,5.08,7.78,2,16.81
11.97,96.9,15.5,8.63,2.32,4,22.8
3.34,97.3,98.8,5.44,17.55,2,0.0
0.21,82.7,98.5,6.72,5.94,2,34.25
16.34,95.9,83.6,5.6,0.0,1,8.6
0.35,59.0,97.6,5.89,0.0,4,166.49
0.05,64.2,68.3,4.74,0.0,2,49.5
13.27,95.2,81.5,5.11,12.9,1,0.0
0.0,94.7,59.1,4.39,5.91,5,0.0
15.22,94.8,80.0,5.38,0.0,1,8.38
0.0,88.2,99.4,5.99,0.0,5,13.77
6.16,100.0,73.4,6.8,0.0,1,98.2
0.0,95.5,28.7,6.93,0.0,5,9.93
5.45,94.0,56.1,6.24,5.11,1,39.83
4.18,92.4,40.4,4.43,10.7,2,0.0
12.76,95.2,27.1,6.19,1.61,1,5.99
0.0,94.0,59.5,5.44,0.0,5,8.44
0.0,93.6,45.3,4.71,0.0,5,7.71
3.54,98.4,98.2,5.79,2.22,2,6.57
3.98,97.7,90.9,6.74,11.64,3,0.0
14.1,96.0,30.3,4.95,0.0,4,16.97
0.0,55.6,21.5,6.46,0.0,5,64.34
0.0,93.4,72.9,6.19,2.98,5,6.21
0.32,68.2,76.5,6.0,5.81,3,56.84
16.66,90.3,71.9,5.57,0.0,4,3.37
0.0,89.1,27.4,6.46,0.98,5,2.15
0.02,79.0,70.6,6.72,11.87,1,0.0
0.22,75.8,81.8,6.17,8.6,1,104.23
17.9,99.3,79.7,6.38,4.0,1,5.38
15.38,97.1,73.1,4.79,2.85,4,4.94
12.17,99.1,45.8,8.85,9.53,4,14.07
0.0,85.1,33.5,5.23,0.0,5,20.85
0.26,80.5,62.3,9.65,6.27,4,116.02
4.29,98.7,47.3,9.91,0.0,3,14.85
0.0,81.9,35.8,5.82,0.0,5,38.97
0.0,86.9,45.0,5.81,4.7,5,12.16
2.47,93.1,21.8,5.48,8.42,3,3.06
4.07,98.9,86.5,5.46,3.54,3,4.92
0.39,80.1,65.1,5.71,1.38,2,46.15
0.32,77.3,43.0,9.79,15.03,4,0.0
0.39,75.2,79.1,6.16,0.0,2,46.07
0.02,50.2,72.5,5.86,0.0,1,199.84
3.29,96.0,24.8,5.22,0.0,2,0.0
3.37,97.4,96.7,9.84,0.0,3,22.02
